Номер заказа;Дата заказа;Дата доставки;ФИО авторизированного клиента;Адрес пункта выдачи;Код для получения;Статус заказа
1;27.02.2025;20.04.2025;4;1;901;Завершен
2;28.09.2022;21.04.2025;1;11;902;Завершен
3;21.03.2025;22.04.2025;2;2;903;Завершен
4;20.02.2025;23.04.2025;3;11;904;Завершен
5;17.03.2025;24.04.2025;4;2;905;Завершен
6;01.03.2025;25.04.2025;1;15;906;Завершен
7;30.03.2025;26.04.2025;2;3;907;Завершен
8;31.03.2025;27.04.2025;3;19;908;Новый
9;02.04.2025;28.04.2025;4;5;909;Новый
10;03.04.2025;29.04.2025;4;19;910;Новый
